"Banque","Type","Adresse","Longitude","Latitude"
"Credit Agricole","Coopérative","10 AVENUE CAMILLE PELLETAN  13270 FOS-SUR-MER",4.944069,43.437506
"Credit Agricole","Coopérative","29 COURS VICTOR LEYDET  13710 FUVEAU",5.562499,43.454198
"Credit Agricole","Coopérative","84 AVENUE D'EMBRUN  05000 GAP",6.09935,44.568155
"Credit Agricole","Coopérative","1, RUE CARNOT  05000 GAP",6.082494,44.561169
"Credit Agricole","Coopérative","80 AVENUE JEAN JAURÈS  05000 GAP",6.065586,44.547682
"Credit Agricole","Coopérative","CITE ADMINISTRATIVE, RUE JULES FERRY  13120 GARDANNE",1.436373,43.608465
"Credit Agricole","Coopérative","COURS NATIONAL  13690 GRAVESON",4.772457,43.851657
"Credit Agricole","Coopérative","PL. GÉNÉRAL ALBERT  05600 GUILLESTRE",6.649286,44.66011
"Credit Agricole","Coopérative","26 CHEMIN BORD DE CRAU  13800 ISTRES",4.963576,43.523527
"Credit Agricole","Coopérative","9 BOULEVARD JEAN-MARIE L'HUILLIER  13800 ISTRES",4.98499,43.511313
"Credit Agricole","Coopérative","43 AVENUE DE LA LIBÉRATION  84150 JONQUIÈRES",4.900737,44.115021
"Credit Agricole","Coopérative","9 AVENUE DE VALLOUISE  05120 L'ARGENTIÈRE-LA-BESSÉE",6.559227,44.795334
"Credit Agricole","Coopérative","6 ESPLANADE ROBERT VASSE  84800 L'ISLE-SUR-LA-SORGUE",5.052169,43.917875
"Credit Agricole","Coopérative","CENTRE COMMERCIAL LA CIOTAT PARK,361 AVENUE EMILE BODIN  13600 LA CIOTAT",5.604398,43.187736
"Credit Agricole","Coopérative","CENTRE COMMERCIAL, QUARTIER SOUQUE NÈGRE  13112 LA DESTROUSSE",5.597248,43.390257
"Credit Agricole","Coopérative","8 COURS CHARLES GALLAND  13580 LA FARE-LES-OLIVIERS",5.193858,43.550607
"Credit Agricole","Coopérative","AVENUE DU PIJORET  13640 LA ROQUE-D'ANTHÉRON",5.307264,43.715428
"Credit Agricole","Coopérative","10 BOULEVARD DE LA RÉPUBLIQUE  84240 LA TOUR-D'AIGUES",5.547875,43.72605
"Credit Agricole","Coopérative","12 BOULEVARD DE LA RÉPUBLIQUE, PLACE DES ETATS GÉNÉRAUX  13410 LAMBESC",5.262833,43.654905
"Credit Agricole","Coopérative","3 RUE DE LA PAIX  05300 LARAGNE-MONTÉGLIN",5.823113,44.315064
"Credit Agricole","Coopérative","340 ROUTE DE GRENOBLE  05220 LE MONÊTIER-LES-BAINS",6.516387,44.974723
"Credit Agricole","Coopérative","35 AVENUE FRANÇOIS LASCOUR  84130 LE PONTET",4.861173,43.962059
"Credit Agricole","Coopérative","L'ESCAPADE D7N, 155 ALLÉE FRANCOIS AUBRUN, HAMEAU DE PALETTE, LE THOLONET  13100 LE THOLONET",5.487166,43.511731
"Credit Agricole","Coopérative","10, PLACE DU 8 MAI ET DU 11 NOVEMBRE  84250 LE THOR",4.995902,43.928887
"Credit Agricole","Coopérative","11 PL. DES ÉTOILES, 05200 LES ORRES",6.556757,44.493546
"Credit Agricole","Coopérative","100 AVENUE FRANÇOIS MITTERRAND  13170 LES PENNES-MIRABEAU",5.348204,43.380336
"Credit Agricole","Coopérative","55 AVENUE VICTOR HUGO  13170 LES PENNES-MIRABEAU",5.317111,43.410942
"Credit Agricole","Coopérative","7 AVENUE DE VERDUN  84340 MALAUCÈNE",5.133669,44.17354
"Credit Agricole","Coopérative","PLACE RAOUL COUSTET, IMMEUBLE LE CÉZANNE  13370 MALLEMORT",5.178092,43.729817
"Credit Agricole","Coopérative","6 PLACE DU 11 NOVEMBRE  13700 MARIGNANE",5.216202,43.416047
"Credit Agricole","Coopérative","12 ESPLANADE DES BELGES  13500 MARTIGUES",5.056313,43.401895
"Credit Agricole","Coopérative","60 ROUTE D'APT  84660 MAUBEC",5.144355,43.868245
"Credit Agricole","Coopérative","80 AVENUE DE LA VALLÉE DES BAUX  13520 MAUSSANE-LES-ALPILLES",4.805931,43.720616
"Credit Agricole","Coopérative","47 AVENUE DE L'EUROPE  84380 MAZAN",5.129568,44.057094
"Credit Agricole","Coopérative","LE CHALVE, RUE CURIE  13140 MIRAMAS",5.000398,43.583516
"Credit Agricole","Coopérative","37 BOULEVARD TREWEY  84170 MONTEUX",4.996146,44.033337
"Credit Agricole","Coopérative","41 PLACE DE LA LIBERTE  84310 MORIÈRES-LÈS-AVIGNON",4.906163,43.941506
"Credit Agricole","Coopérative","4 RUE ROGER SALENGRO  13890 MOURIÈS",4.87046,43.689273
"Credit Agricole","Coopérative","11 BOULEVARD DE LA RÉPUBLIQUE  13550 NOVES",4.902181,43.875778
"Credit Agricole","Coopérative","PALAIS DU VIN, ZONE DU COUDOULET, GIRATOIRE SYRAH  84100 ORANGE",4.834655,44.1223
"Credit Agricole","Coopérative","54 COURS ARISTIDE BRIAND  84100 ORANGE",4.80558,44.136064
"Credit Agricole","Coopérative","IM. ETOILE DES NEIGES - MERLETTE  05170 ORCIERES",6.329245,44.699229
"Credit Agricole","Coopérative","PLACE ALBERT GÉRARD  13660 ORGON",5.040407,43.791406
