"Banque","Type","Longitude","Latitude"
"Société_Générale","lucrative",7.715516,48.597746
"Société_Générale","lucrative",7.749659,48.583774
"Société_Générale","lucrative",7.715516,48.597746
"Société_Générale","lucrative",7.715516,48.597746
"Société_Générale","lucrative",7.769069,48.577738
"Société_Générale","lucrative",7.774045,48.594748
"Société_Générale","lucrative",7.775809,48.595226
"Société_Générale","lucrative",7.748774,48.58145
"Société_Générale","lucrative",7.715516,48.597746
"Société_Générale","lucrative",7.714563,48.579281
"Société_Générale","lucrative",7.744777,48.553434
"Société_Générale","lucrative",7.763053,48.585896
"Société_Générale","lucrative",7.944871,49.03676
"Société_Générale","lucrative",5.455415,43.530708
"Société_Générale","lucrative",5.418753,43.485359
"Société_Générale","lucrative",5.446072,43.53332
"Société_Générale","lucrative",5.422766,43.581251
"Société_Générale","lucrative",5.437265,43.512421
"Société_Générale","lucrative",5.437265,43.512421
"Société_Générale","lucrative",5.437265,43.512421
"Société_Générale","lucrative",5.455415,43.530708
"Société_Générale","lucrative",5.409067,43.53503
"Société_Générale","lucrative",5.40478,43.507925
"Société_Générale","lucrative",5.372629,43.491145
"Société_Générale","lucrative",5.437265,43.512421
"Société_Générale","lucrative",5.455415,43.530708
"Société_Générale","lucrative",4.626307,43.676403
"Société_Générale","lucrative",4.626307,43.676403
"Société_Générale","lucrative",4.637264,43.690077
"Société_Générale","lucrative",5.567297,43.29444
"Société_Générale","lucrative",5.593792,43.291147
"Société_Générale","lucrative",5.167885,43.476937
"Société_Générale","lucrative",5.400097,43.452169
"Société_Générale","lucrative",5.553977,43.250079
"Société_Générale","lucrative",5.147628,43.328463
"Société_Générale","lucrative",4.851407,43.883956
"Société_Générale","lucrative",4.944642,43.43596
"Société_Générale","lucrative",5.223888,43.387344
"Société_Générale","lucrative",4.964236,43.522607
"Société_Générale","lucrative",5.389887,49.161287
"Société_Générale","lucrative",5.59814,43.389629
"Société_Générale","lucrative",5.201485,43.546119
"Société_Générale","lucrative",5.271921,43.643663
"Société_Générale","lucrative",5.250618,43.401267
"Société_Générale","lucrative",5.380272,43.297159
"Société_Générale","lucrative",5.397636,43.289793
"Société_Générale","lucrative",5.393055,43.247423
"Société_Générale","lucrative",5.376433,43.296112
"Société_Générale","lucrative",5.382311,43.266447
"Société_Générale","lucrative",5.383138,43.286077
"Société_Générale","lucrative",5.403926,43.297884
"Société_Générale","lucrative",5.360868,43.289039
"Société_Générale","lucrative",5.380796,43.278758
"Société_Générale","lucrative",5.382311,43.266447
"Société_Générale","lucrative",-0.980841,45.943401
"Société_Générale","lucrative",5.368151,43.307861
"Société_Générale","lucrative",5.477655,43.299558
"Société_Générale","lucrative",5.40383,43.246101
"Société_Générale","lucrative",5.407316,43.303462
"Société_Générale","lucrative",5.390681,43.271805
"Société_Générale","lucrative",5.41775,43.303902
