"Banque","Type","Adresse"
"credit_mutuel","cooperative","23 RUE DU PALAIS ,  01600 ,  TREVOUX"
"credit_mutuel","cooperative","58 BOULEVARD GENERAL LECLERC ,  69654 ,  VILLEFRANCHE SAONE"
"credit_mutuel","cooperative","1 RUE D ALSACE ,  71500 ,  LOUHANS"
"credit_mutuel","cooperative","58 AVENUE DU PRE AUX MOUTONS ,  69480 ,  ANSE"
"credit_mutuel","cooperative","2 RUE DU VALLON D OR ,  69370 ,  ST DIDIER AU MONT D OR"
"credit_mutuel","cooperative","6 C AVENUE DE L HIPPODROME ,  69890 ,  LA TOUR DE SALVAGNY"
"credit_mutuel","cooperative","5 PLACE PIERRE MARIE DURAND ,  69210 ,  L ARBRESLE"
"credit_mutuel","cooperative","46 AVENUE LANESSAN ,  69410 ,  CHAMPAGNE AU MONT D OR"
"credit_mutuel","cooperative","50 QUAI PAUL SEDALLIAN ,  69009 ,  LYON"
"credit_mutuel","cooperative","8 RUE RHIN ET DANUBE ,  69337 ,  LYON"
"credit_mutuel","cooperative","2 RUE DU 24 MARS 1852 ,  69009 ,  LYON"
"credit_mutuel","cooperative","PLACE JOANNES AMBRE ,  69004 ,  LYON"
"credit_mutuel","cooperative","SQUARE DE VERDUN ,  69260 ,  CHARBONNIERES LES BAINS"
"credit_mutuel","cooperative","90 RUE DU CENTRE ,  74140 ,  DOUVAINE"
"credit_mutuel","cooperative","16 AVENUE DES CHARMES ,  74140 ,  SCIEZ"
"credit_mutuel","cooperative","54 AVENUE DU LEMAN ,  74890 ,  BONS EN CHABLAIS"
"credit_mutuel","cooperative","1075 ROUTE DES TATTES DE BORLY ,  74380 ,  CRANVES SALES"
"credit_mutuel","cooperative","30 AVENUE DE GENEVE ,  74200 ,  THONON LES BAINS"
"credit_mutuel","cooperative","12 AVENUE DU GENERAL DE GAULLE ,  74200 ,  THONON LES BAINS"
"credit_mutuel","cooperative","217 RUE DE LA VALLEE VERTE ,  74420 ,  BOEGE"
"credit_mutuel","cooperative","24 RUE DU DOCTEUR GOY ,  74930 ,  REIGNIER ESERY"
"credit_mutuel","cooperative","163 RUE DE LA DRANSE ,  74360 ,  ABONDANCE"
"credit_mutuel","cooperative","16 ALLEE DE LA THYOLLIRE ,  74250 ,  VIUZ EN SALLAZ"
"credit_mutuel","cooperative","157 RUE CARNOT ,  74800 ,  LA ROCHE SUR FORON"
"credit_mutuel","cooperative","18 RUE DUQUESNE ,  69006 ,  LYON"
"credit_mutuel","cooperative","5 RUE MEZELLE ,  69170 ,  TARARE"
"credit_mutuel","cooperative","30 ROUTE DE DOLE ,  71380 ,  ST MARCEL"
"credit_mutuel","cooperative","2 AVENUE GEORGES POMPIDOU ,  71100 ,  CHALON SUR SAONE"
"credit_mutuel","cooperative","6 B RUE OLIVIER MESSIAEN ,  71100 ,  CHALON SUR SAONE"
"credit_mutuel","cooperative","21 BOULEVARD DE LA REPUBLIQUE ,  71100 ,  CHALON SUR SAONE"
"credit_mutuel","cooperative","24 BOULEVARD DE LA REPUBLIQUE ,  71100 ,  CHALON SUR SAONE"
"credit_mutuel","cooperative","22 PLACE DE BEAUNE ,  71100 ,  CHALON SUR SAONE"
"credit_mutuel","cooperative","4 RUE BENOIT TABARD ,  69130 ,  ECULLY"
"credit_mutuel","cooperative","226 ROUTE D ANNECY ,  74370 ,  ANNECY"
"credit_mutuel","cooperative","2 RUE LUCIE AUBRAC ,  74000 ,  ANNECY"
"credit_mutuel","cooperative","17 AVENUE DE LA REPUBLIQUE ,  74960 ,  ANNECY"
"credit_mutuel","cooperative","99 AVENUE DE GENEVE ,  74054 ,  ANNECY"
