"Banque","Type","Longitude","Latitude"
"Société générale","Lucrative",5.553977,43.250079
"Société générale","Lucrative",5.147628,43.328463
"Société générale","Lucrative",4.851407,43.883956
"Société générale","Lucrative",4.944642,43.43596
"Société générale","Lucrative",5.223888,43.387344
"Société générale","Lucrative",4.964236,43.522607
"Société générale","Lucrative",5.389887,49.161287
"Société générale","Lucrative",5.59814,43.389629
"Société générale","Lucrative",5.201485,43.546119
"Société générale","Lucrative",5.271921,43.643663
"Société générale","Lucrative",5.213977,43.421993
"Société générale","Lucrative",5.380272,43.297159
"Société générale","Lucrative",5.397636,43.289793
"Société générale","Lucrative",5.393055,43.247423
"Société générale","Lucrative",5.376433,43.296112
"Société générale","Lucrative",5.382311,43.266447
"Société générale","Lucrative",5.383138,43.286077
"Société générale","Lucrative",5.403926,43.297884
"Société générale","Lucrative",5.360868,43.289039
"Société générale","Lucrative",5.380796,43.278758
"Société générale","Lucrative",5.382311,43.266447
"Société générale","Lucrative",-0.980841,45.943401
"Société générale","Lucrative",5.368151,43.307861
"Société générale","Lucrative",5.477655,43.299558
"Société générale","Lucrative",5.40383,43.246101
"Société générale","Lucrative",5.407316,43.303462
"Société générale","Lucrative",5.390681,43.271805
"Société générale","Lucrative",5.41775,43.303902
"Société générale","Lucrative",5.436895,43.308503
"Société générale","Lucrative",5.432252,43.283054
"Société générale","Lucrative",5.419817,43.34089
"Société générale","Lucrative",5.394077,43.260429
"Société générale","Lucrative",5.397787,43.299511
"Société générale","Lucrative",5.403485,43.268717
"Société générale","Lucrative",5.057532,43.402242
"Société générale","Lucrative",5.00137,43.58246
"Société générale","Lucrative",5.137614,43.633638
"Société générale","Lucrative",5.646672,43.446076
"Société générale","Lucrative",5.313361,43.390827
"Société générale","Lucrative",5.455496,43.343087
"Société générale","Lucrative",4.802522,43.389003
"Société générale","Lucrative",4.83145,43.787462
"Société générale","Lucrative",5.094868,43.640579
"Société générale","Lucrative",5.077797,43.633339
"Société générale","Lucrative",4.809716,43.638208
"Société générale","Lucrative",4.6569,43.803417
"Société générale","Lucrative",5.478534,43.590363
"Société générale","Lucrative",5.248124,43.446446
"Société générale","Lucrative",-0.165181,49.127337
"Société générale","Lucrative",-0.705187,49.277943
"Société générale","Lucrative",-0.116121,49.290769
"Société générale","Lucrative",-0.400513,49.182225
"Société générale","Lucrative",-0.367978,49.210104
"Société générale","Lucrative",-0.367978,49.210104
"Société générale","Lucrative",-0.354119,49.173386
"Société générale","Lucrative",-0.362708,49.180759
