"Banque","Type","Adresse","Longitude","Latitude"
"Société Générale","Lucrative","8 AV JEAN MEDECIN06000 NICE",7.269161,43.69903
"Société Générale","Lucrative","2 PL ILE DE BEAUTE06300 NICE",7.28516,43.698694
"Société Générale","Lucrative","15B RUE LEPANTE06000 NICE",7.253473,43.695474
"Société Générale","Lucrative","4 PL GAL DE GAULLE06000 NICE",7.26245,43.71009
"Société Générale","Lucrative","28 AV DE LA CALIFORNIE06200 NICE",7.242441,43.690498
"Société Générale","Lucrative","22 RUE VERDI06000 NICE",7.259533,43.699648
"Société Générale","Lucrative","33 AV DE LA REPUBLIQUE06300 NICE",7.281348,43.702809
"Société Générale","Lucrative","6 BD SAINT-ROCH06300 NICE",7.292907,43.709151
"Société Générale","Lucrative","22 AV SAINT-SYLVESTRE06100 NICE",7.249973,43.725545
"Société Générale","Lucrative","40 AV STE-MARGUERITE06200 NICE",7.220653,43.678022
"Société Générale","Lucrative","2 RUE LEBON06530 PEYMEINADE",6.87716,43.641783
"Société Générale","Lucrative","171 Avenue du 11 Novembre 06700 Saint-Laurent-du-Var",7.190752,43.675181
"Société Générale","Lucrative","2 PL ALEXIS MAIFFREDI06670 ST MARTIN DU VAR",7.192208,43.821715
"Société Générale","Lucrative","109 QU DE LA BANQUIERE06730 SAINT ANDRE DE LA ROCHE",7.28783,43.741495
"Société Générale","Lucrative","396 AV DU GAL LECLERC06700 ST LAURENT DU VAR",7.189001,43.675096
"Société Générale","Lucrative","PL BERMOND06560 VALBONNE",7.039893,43.621817
"Société Générale","Lucrative","PL BERMOND06560 VALBONNE SOPHIA-ANTIPOLIS",-0.3492,49.214235
"Société Générale","Lucrative","6 AV SAINT ROCH06560 VALBONNE",7.00737,43.640653
"Société Générale","Lucrative","28 AVENUE DE LA GARE06220 VALLAURIS",7.073912,43.567404
"Société Générale","Lucrative","10 AV DE LA RESISTANCE06140 VENCE",7.110279,43.722852
"Société Générale","Lucrative","2 AVENUE DE LA MER06270 VILLENEUVE-LOUBET",7.141285,43.641727
"Société Générale","Lucrative","5 PL DES CORDELIERS07100 ANNONAY",4.672507,45.240411
"Société Générale","Lucrative","3 PL DU GAL DE GAULLE07200 AUBENAS",4.388475,44.619322
"Société Générale","Lucrative","29 PL JEAN JAURES07500 GUILHERAND-GRANGES",4.880354,44.933214
"Société Générale","Lucrative","68 RUE NATIONALE07120 RUOMS",4.342231,44.45253
"Société Générale","Lucrative","4 RUE BOISSY D ANGLAS07300 TOURNON-S-RHONE",4.833898,45.067614
"Société Générale","Lucrative","32 AV JEAN JAURES08000 CHARLEVILLE MEZIERES",4.722369,49.769889
"Société Générale","Lucrative","1 PL DU 148 EME RGT D'INFANTE08600 GIVET",4.826574,50.136129
"Société Générale","Lucrative","24 PL DE LA REPUBLIQUE08300 RETHEL",4.365832,49.509092
"Société Générale","Lucrative","20 AV MARECHAL LECLERC08200 SEDAN",4.944531,49.700885
"Société Générale","Lucrative","5 RUE CHANZY08400 VOUZIERS",4.701743,49.397697
"Société Générale","Lucrative","PROMENADE PAUL SALETTE09110 AX LES THERMES",1.839619,42.720666
"Société Générale","Lucrative","17 RUE TH.DELCASSE09000 FOIX",1.329723,47.582847
"Société Générale","Lucrative","17 R TH DELCASSE09000 FOIX",1.329723,47.582847
"Société Générale","Lucrative","10 AV DU 11 NOVEMBRE09300 LAVELANET",1.849492,42.933869
"Société Générale","Lucrative","5 RTE DE FOIX09100 PAMIERS",1.620217,43.104396
"Société Générale","Lucrative","7 RUE JULES DESBIAUX09200 SAINT GIRONS",1.144685,42.983859
"Société Générale","Lucrative","22 RUE DE LA REPUBLIQUE09400 TARASCON SUR ARIEGE",1.604673,42.845291
"Société Générale","Lucrative","20 RUE ROGER SALENGRO10600 CHAPELLE ST-LUC",4.048949,48.312683
"Société Générale","Lucrative","77 RUE DE LA BOULE D'OR10100 ROMILLY-S-SEINE",3.725963,48.516128
"Société Générale","Lucrative","98 AV GALLIENI10300 STE-SAVINE",4.053337,48.293867
"Société Générale","Lucrative","11 PL DU MARECHAL FOCH10000 TROYES",4.075341,48.297092
"Société Générale","Lucrative","11 PL MARECHAL FOCH10000 TROYES",4.075341,48.297092
"Société Générale","Lucrative","70 AV P. BROSSOLETTE10000 TROYES",4.072907,48.293271
"Société Générale","Lucrative","46 AV DR HENRI GOUT11000 CARCASSONNE",2.341508,43.210917
"Société Générale","Lucrative","27 CRS REPUBLIQUE11400 CASTELNAUDARY",1.945169,43.315203
"Société Générale","Lucrative","28 CRS REPUBLIQUE11200 LEZIGNAN-CORBIERES",2.757181,43.200822
"Société Générale","Lucrative","16 RUE JEAN JAURES11300 LIMOUX",2.217053,43.05458
"Société Générale","Lucrative","3 5 CRS REPUBLIQUE11100 NARBONNE",3.169911,43.164511
"Société Générale","Lucrative","ROUTE DE PERPIGNAN11100 NARBONNE",2.982762,43.163207
"Société Générale","Lucrative","3/5 CRS DE LA REPUBLIQUE11100 NARBONNE",3.169911,43.164511
"Société Générale","Lucrative","2-4 PL GAL DE GAULLE12000 RODEZ",2.571306,44.346783
"Société Générale","Lucrative","37 BD LA REPUBLIQUE12100 MILLAU",3.07835,44.095751
"Société Générale","Lucrative","37 BD DE LA REPUBLIQUE12100 MILLAU",3.077408,44.097493
"Société Générale","Lucrative","62 RTE D'ESPALION12850 ONET LE CHATEAU",2.590227,44.369044
"Société Générale","Lucrative","2-4 PL GAL DE GAULLE12000 RODEZ",2.571306,44.346783
